Latitude,Longitude,Description 
35.972033,-87.134700,Mountain Bike Heaven by susy1313
36.090683,-86.679550,The Troll by a182pilot and Family
35.99627,-86.62012,Dive Bomber by JoGPS and family
36.03848,-86.64862,FOSTER by JoGPS and Family
